sl no,education,experience,industry,skills,jobtitle,clust
2460,537,10,11,36,10985,1
2461,701,136,29,40,12826,1
2462,1994,86,54,14,7917,2
2463,1994,133,29,17,13538,4
2464,44,4,49,35,7344,3
2465,675,112,29,14,11901,3
2466,714,101,54,14,9442,1
2467,2014,86,29,14,2987,3
2468,44,5,49,11,6398,2
2469,44,118,29,14,10521,1
2470,831,85,30,36,11939,1
2471,2018,86,32,14,12160,1
2472,44,104,7,29,7677,4
2473,718,3,29,29,8166,4
2474,1990,86,29,14,15187,2
2475,537,3,29,11,5006,1
2476,262,101,29,14,4361,4
2477,44,88,29,14,5823,4
2478,701,103,32,10,10817,1
2479,44,88,44,35,9409,1
2480,44,11,29,14,5348,2
2481,675,133,49,7,3705,4
2482,1990,86,29,14,557,1
2483,1990,19,29,14,11555,2
2484,44,104,29,23,7110,4
2485,701,123,32,14,15155,4
2486,2018,11,29,6,11805,1
2487,262,86,32,29,8550,1
2489,44,3,17,35,9772,4
2490,690,86,16,42,6890,2
2491,1009,0,44,29,7746,1
2492,70,3,49,11,14253,4
2493,537,3,29,14,3088,1
2494,2018,85,29,14,1373,2
2495,2018,104,29,14,8806,4
2496,2018,86,8,13,13675,1
2497,44,88,44,35,9778,3
2498,2018,112,29,16,3128,1
2499,44,103,29,14,9142,1
2500,831,133,8,36,1499,3
2501,2005,108,32,14,15065,4
2502,1994,133,29,14,13539,3
2503,1994,108,29,24,9684,2
2504,537,136,29,10,4413,0
2505,1994,87,29,14,186,4
2506,1988,46,29,17,15118,1
2507,44,117,29,14,8187,4
2508,537,110,15,11,404,2
2509,44,103,29,14,9142,1
2510,1994,109,16,42,1030,1
2511,1994,64,44,18,3888,3
2513,701,101,29,36,10904,0
2514,2018,101,29,14,15226,1
2515,44,104,44,38,821,1
2516,2018,86,29,18,6923,2
2517,1994,88,29,14,2986,1
2518,44,111,29,14,1398,4
2519,1994,108,29,14,12134,1
2520,44,88,52,18,8471,2
2521,335,85,49,11,5657,4
2523,1246,104,29,28,5266,4
2524,44,12,44,35,9438,4
2525,44,10,44,35,9436,1
2526,1994,17,16,42,9449,4
2527,44,112,29,14,6797,4
2528,714,86,29,10,11382,2
2529,1648,111,29,25,6179,2
2530,44,88,44,35,14507,1
2531,44,10,7,29,5237,4
2532,1994,123,29,17,7558,3
2533,1994,108,29,14,685,0
2534,1994,117,29,14,12185,3
2535,537,139,5,35,9126,2
2536,1994,86,1,14,4838,2
2537,1098,127,19,35,4288,3
2538,44,85,29,14,6544,4
2540,44,111,29,14,15007,1
2541,714,102,16,42,1253,4
2542,44,111,29,14,7094,4
2543,44,111,29,14,8990,1
2544,537,86,29,14,7984,2
2545,718,112,29,11,12938,2
2546,537,111,29,14,14313,1
2547,701,101,29,11,5067,4
2548,704,133,49,36,10717,4
2549,1205,1,29,23,6440,2
2551,1994,37,29,14,9221,0
2552,44,86,44,6,148,1
2553,718,88,29,36,7640,4
2554,44,104,29,23,14646,4
2555,44,88,29,14,1982,0
2556,537,3,13,38,3754,2
2557,1994,136,29,14,3559,3
2558,44,101,29,14,5922,1
2559,833,8,38,42,2751,1
2560,2018,9,8,23,4246,1
2561,665,88,8,36,14849,2
2562,44,87,29,14,12029,1
2563,714,101,8,14,13424,2
2564,1994,110,29,14,11718,0
2565,44,110,29,14,2398,1
2566,2018,86,29,14,9488,4
2567,44,1,7,29,7770,1
2568,1994,109,16,42,1020,2
2569,831,17,16,42,9453,4
2570,1994,124,16,42,1186,4
2571,701,123,54,36,1061,0
2572,44,11,44,35,9782,3
2573,44,116,29,14,8790,1
2574,537,86,29,14,8788,4
2575,1994,104,29,14,12185,4
2576,714,85,29,14,521,2
2577,701,84,29,10,1807,2
2579,2018,101,29,5,14877,4
2580,2018,104,29,14,3563,2
2581,44,119,29,14,3532,4
2582,537,102,29,14,6912,4
2583,1994,88,29,14,14010,4
2584,714,86,32,23,3046,4
2585,701,101,16,36,1789,1
2586,1994,112,52,18,15152,1
2587,701,86,32,32,2145,4
2588,2018,104,16,5,13339,2
2589,2018,108,29,14,10515,1
2590,44,110,8,10,14314,3
2591,44,104,44,35,9783,2
2592,2057,0,38,33,7794,4
2593,690,9,16,42,2417,3
2594,537,117,29,14,5272,3
2595,2257,102,38,33,8955,4
2596,44,101,20,36,14466,1
2597,990,85,16,42,8021,2
2598,1994,123,29,14,7959,2
2599,537,112,29,24,1379,2
2600,2018,101,49,14,631,2
2601,1994,101,54,38,438,3
2602,44,86,8,10,8020,2
2603,714,9,8,26,2357,4
2604,1150,10,29,23,14761,2
2605,537,102,28,32,3388,4
2606,1994,110,8,16,3055,2
2607,1994,124,16,42,1192,1
2608,1994,109,16,42,1025,3
2609,2008,85,29,17,13188,1
2610,714,101,29,18,10720,2
2611,979,84,29,0,3706,3
2612,1994,116,5,6,12656,2
2613,44,88,29,25,3794,4
2614,44,12,2,29,4128,2
2615,537,116,29,14,14656,1
2616,1665,10,5,6,3252,2
2617,537,110,5,36,1590,3
2618,1994,88,29,14,11324,0
2619,976,125,29,0,4394,4
2620,44,19,44,36,736,1
2621,44,1,7,29,7770,4
2622,1994,111,29,14,1758,4
2623,44,10,29,36,1440,1
2624,2018,86,32,28,9472,1
2625,1994,124,16,42,1189,1
2626,2270,19,28,22,5947,1
2627,44,104,44,33,11084,3
2628,44,116,29,23,14841,1
2629,44,101,29,25,8445,1
2630,1994,108,29,14,11748,4
2631,704,103,49,36,13363,3
2632,1994,112,32,14,5688,3
2633,537,86,42,36,8544,1
2634,192,127,38,32,5404,3
2635,1994,84,29,27,8806,1
2636,714,119,54,29,5554,4
2637,537,102,5,11,13939,1
2638,714,136,52,13,9887,3
2639,1994,117,29,16,3091,3
2640,44,117,19,36,10936,4
2641,1994,140,29,14,13539,3
2642,44,86,29,25,1646,2
2643,44,12,29,29,13748,1
2644,44,86,29,25,1648,4
2645,831,86,29,33,9379,2
2646,1994,86,29,14,8842,1
2647,44,10,29,14,3589,4
2648,44,87,44,35,5998,1
2649,714,86,54,29,10431,2
2650,2005,124,16,42,1188,2
2651,1994,123,5,14,9541,4
2652,44,133,29,14,8295,3
2653,2018,88,29,14,557,3
2654,1994,88,29,14,7993,3
2655,701,127,54,36,10911,3
2658,701,104,29,14,10111,2
2659,44,1,7,29,7770,2
2660,44,117,29,14,13749,1
2661,976,124,29,0,11422,4
2662,2018,3,29,28,6869,1
2663,1994,85,29,14,597,2
2664,44,88,44,40,14825,2
2666,1994,133,29,14,1953,3
2667,44,101,29,14,13750,4
2668,2018,112,29,14,11051,2
2669,1994,108,29,14,685,1
2670,1994,108,32,29,7296,1
2671,701,101,29,36,1835,2
2672,1224,86,29,14,826,2
2673,44,136,44,35,7285,0
2674,704,133,49,36,12545,2
2675,2018,86,29,14,13267,1
2677,44,102,29,17,11998,2
2678,1994,127,29,17,12602,1
2679,44,111,29,23,7093,2
2680,2018,101,29,28,4554,4
2681,1994,109,16,42,1019,3
2682,44,104,29,16,8678,3
2683,44,111,29,16,14950,0
2684,44,11,8,36,5413,1
2686,537,8,29,14,14877,1
2687,44,104,8,10,9868,4
2688,990,102,16,42,13337,1
2689,1994,133,29,14,686,3
2690,2018,110,29,17,11061,1
2691,714,9,8,23,2356,2
2692,44,108,43,36,1845,1
2693,44,112,29,14,14312,3
2694,44,117,2,35,1262,2
2695,44,104,29,23,6909,4
2696,537,3,49,11,5668,1
2697,1994,88,29,14,5623,1
2698,1994,102,29,23,13498,4
2699,44,85,5,39,15233,4
2700,2018,101,29,14,13989,3
2701,1994,136,29,14,712,2
2702,1020,16,44,33,13954,0
2703,44,124,29,14,11793,1
2704,1994,84,54,17,10340,1
2705,44,104,29,14,7874,1
2706,44,88,29,14,5706,4
2707,44,86,29,25,8475,3
2708,2018,10,29,14,684,1
2709,44,87,8,29,3165,2
2710,44,88,44,35,9715,2
2711,714,85,38,33,9049,4
2712,1994,16,29,14,12094,4
2713,731,86,29,32,10200,4
2714,701,88,8,36,13465,0
2715,44,118,7,14,10706,4
2716,1031,11,44,33,10207,4
2717,2018,86,29,14,12190,0
2718,701,86,29,14,3370,1
2719,44,1,56,13,3581,1
2720,44,111,29,14,7991,2
2721,44,49,44,33,82,4
2722,714,110,32,29,8768,4
2723,831,88,44,36,10855,1
2724,1994,17,16,42,9451,1
2725,537,110,29,14,5741,2
2726,537,11,29,14,5833,4
2727,44,101,29,14,5445,1
2728,1994,108,29,14,685,2
2729,2018,88,29,21,14016,3
2730,44,104,2,14,8946,4
2731,1994,108,29,14,685,4
2732,1994,101,29,14,5091,3
2733,1994,125,29,14,686,4
2734,44,104,29,14,3056,1
2735,2018,112,40,14,12792,2
2736,44,88,8,10,1687,1
2737,1994,116,29,17,13538,2
2738,2018,101,29,6,3237,2
2739,44,0,38,14,14833,1
2740,2018,86,29,5,4686,1
2741,44,111,29,14,6223,3
2742,162,86,38,32,1692,3
2743,1994,108,29,14,12658,3
2744,1994,133,29,14,9258,3
2745,1994,9,29,24,9683,4
2746,44,136,44,35,14506,2
2747,44,10,29,14,12156,2
2748,44,88,44,6,820,2
2749,2018,19,61,6,12560,2
2750,44,9,2,0,6514,2
2751,1994,84,29,14,557,4
2752,2018,117,29,14,11465,2
2753,44,101,29,24,8496,2
2754,714,86,29,29,8863,2
2755,1994,112,8,14,14508,1
2756,2018,102,29,11,3672,2
2757,2055,0,38,33,7763,1
2758,1994,102,29,14,557,2
2759,136,12,44,35,4163,1
2760,537,101,29,14,11470,2
2761,537,139,29,14,11288,4
2762,44,3,0,0,4393,1
2764,1994,115,29,27,3547,4
2765,44,64,13,11,7443,2
2766,537,119,29,14,14299,1
2767,1994,84,54,17,10336,3
2768,1994,17,16,42,9455,2
2769,1994,109,16,42,1031,2
2770,44,102,29,16,14110,4
2771,44,117,29,14,12668,2
2772,2257,102,38,33,8950,1
2773,1994,104,29,14,8800,3
2775,744,5,7,29,5416,2
2776,1994,104,29,14,11095,3
2777,2018,104,29,22,6688,2
2778,2014,133,29,22,7478,4
2779,2061,1,44,33,15088,4
2780,2257,102,38,33,8951,4
2781,70,86,11,36,7378,4
2782,1994,116,29,14,9374,4
2783,2005,108,29,32,9374,3
2784,44,110,29,14,8613,2
2785,701,85,29,10,11233,3
2786,44,102,8,36,10912,0
2787,714,117,54,0,7475,2
2788,2259,116,44,43,2452,2
2789,44,5,5,5,6206,4
2790,2005,17,16,42,9458,1
2791,44,3,5,40,13131,3
2792,44,87,44,35,6000,4
2793,1207,117,29,25,6331,1
2794,537,104,29,14,9019,1
2796,701,102,16,29,7614,2
2797,44,84,2,14,10451,2
2798,675,12,29,6,7897,1
2799,1988,101,29,14,10734,0
2800,1994,101,29,14,14686,2
2801,1994,108,32,28,12160,4
2802,2018,127,29,14,12364,1
2803,44,103,29,14,9142,2
2804,44,111,7,29,2795,3
2805,44,110,44,13,9123,1
2806,701,88,29,11,10238,3
2807,2018,116,29,16,3087,2
2808,704,84,29,0,342,2
2809,690,101,16,42,13411,3
2810,44,111,29,14,3652,4
2811,2018,9,29,14,684,4
2812,1994,108,29,24,9684,2
2813,1994,17,16,42,9460,2
2814,370,9,38,33,3355,3
2815,537,3,5,35,9429,4
2816,976,37,8,0,7552,2
2817,979,84,8,0,6077,4
2818,44,4,5,40,6944,2
2819,44,87,44,35,6567,3
2820,1994,17,16,42,9450,3
2821,2018,88,29,36,9542,2
2822,44,64,7,29,11569,3
2824,1994,85,29,27,14020,1
2825,1994,117,29,14,12134,4
2826,44,107,29,23,10469,1
2827,44,88,44,33,9730,1
2829,718,88,29,36,10780,2
2830,44,115,5,36,3203,4
2831,714,101,8,0,12516,1
2832,1994,87,29,14,6237,3
2833,44,118,7,29,2889,4
2834,1020,3,29,33,4240,4
2835,701,19,29,11,14049,2
2836,537,8,29,14,6441,4
2837,537,86,1,32,7731,1
2838,537,87,29,14,8556,3
2839,1994,125,29,23,13698,1
2840,2018,114,29,17,13538,4
2841,537,110,29,14,13382,2
2842,1994,108,29,24,9684,2
2843,44,88,29,14,7146,1
2844,2018,101,29,14,3528,2
2845,44,111,29,14,3655,2
2846,1994,123,29,14,14862,2
2847,2018,101,29,24,9758,1
2848,2018,86,29,14,3001,1
2849,701,86,32,32,14928,1
2850,2018,86,32,16,3033,4
2851,44,102,29,23,10345,2
2852,44,112,38,29,3210,1
2853,2018,84,29,14,130,4
2854,831,102,16,42,8793,2
2855,537,127,7,29,12791,2
2856,2018,3,29,14,7942,4
2857,1994,16,44,23,5577,3
2858,44,84,2,0,876,4
2859,2018,101,29,23,10677,1
2860,2018,86,29,14,9488,2
2861,537,118,29,14,5924,2
2862,44,112,29,14,5442,3
2863,1028,87,44,35,54,4
2864,537,12,29,14,11958,2
2865,1994,16,29,14,11556,3
2866,701,86,32,29,5069,1
2867,1020,133,44,33,13955,3
2868,1020,16,44,33,13954,2
2869,44,111,29,14,3653,4
2870,2018,86,16,14,3736,3
2871,2018,86,29,14,1768,2
2873,44,127,44,35,9671,2
2874,2056,0,38,33,7778,3
2875,537,110,56,13,13227,4
2876,44,102,44,35,6006,2
2877,1994,124,16,42,1187,1
2878,1224,1,29,14,9600,2
2879,44,117,5,36,2719,1
2880,1994,102,16,42,1190,2
2881,976,112,1,0,302,2
2882,44,1,7,29,7770,0
2883,1246,125,29,14,8129,2
2884,44,88,44,35,9723,2
2885,44,4,5,8,9633,2
2886,44,102,29,14,3375,4
2887,1994,104,29,28,8832,4
2888,44,5,7,29,5249,1
2889,44,110,29,25,6421,3
2890,1994,124,16,42,1184,2
2891,1994,17,16,42,9457,1
2892,44,16,29,14,608,1
2893,714,86,58,12,10286,2
2894,44,88,8,36,8438,0
2895,537,127,29,14,2644,4
2896,1994,16,29,17,13539,4
2897,714,100,29,36,2191,1
2898,44,110,29,14,10654,1
2899,537,85,29,14,14843,3
2900,701,84,8,36,10823,2
2901,675,11,29,11,8944,3
2902,44,1,44,11,5510,4
2903,537,19,29,23,3494,3
2904,537,119,29,14,14088,1
2905,537,110,29,14,3984,4
2906,1994,88,29,24,9007,2
2908,44,104,29,15,1573,2
2909,1994,136,29,14,3289,3
2910,675,116,43,0,7019,2
2911,2005,125,29,28,9375,3
2912,976,107,54,0,10524,0
2913,44,12,44,33,4779,1
2914,44,102,29,14,5744,3
2915,537,8,29,14,13956,2
2916,2018,100,13,14,706,0
2917,1994,117,29,14,10099,1
2918,537,103,29,14,14445,2
2919,704,86,13,0,342,3
2920,714,101,29,29,3087,3
2921,2018,7,29,23,6073,1
2922,1994,133,29,14,13539,1
2923,1994,86,29,27,13264,4
2924,1994,16,29,14,14624,4
2925,2018,86,29,21,15217,1
2926,44,104,2,14,12723,1
2927,44,86,44,33,14768,1
2928,704,85,29,0,306,3
2929,44,111,29,14,8686,3
2930,44,135,8,0,213,4
2931,2018,86,29,14,11815,2
2932,44,112,44,35,9784,4
2933,2018,88,16,14,12117,4
2934,1994,19,29,14,12386,1
2935,537,3,0,0,4379,3
2936,1994,111,29,17,15236,2
2937,44,86,29,25,1641,4
2938,2018,104,29,14,581,3
2939,1224,127,29,25,6424,4
2940,2018,136,29,14,8660,1
2941,1266,104,5,36,6625,1
2942,1994,112,29,14,11369,2
2943,537,3,29,11,4960,1
2944,44,9,2,36,10255,3
2945,44,88,44,35,4336,2
2946,1396,110,29,14,4014,4
2948,714,100,29,29,2127,1
2949,44,142,44,35,4777,1
2950,1994,86,29,27,9690,2
2951,1994,85,52,6,3873,1
2952,44,124,29,23,13660,1
2953,44,112,52,18,14585,2
2954,1994,127,29,14,9590,2
2955,262,86,37,36,1056,4
2956,675,108,29,22,163,3
2957,44,9,32,36,14747,1
2958,2018,116,29,17,13538,1
2959,44,112,44,35,9668,1
2960,44,1,7,29,7770,3
2961,1994,127,29,14,9008,2
2962,2018,86,8,23,4273,2
2963,1648,104,29,25,6177,3
2964,44,101,2,14,12722,1
2965,714,125,29,24,11670,4
2966,44,109,29,14,3796,2
2967,1994,112,29,14,12257,4
2968,44,2,2,35,3759,2
2969,44,101,29,14,13989,4
2970,1994,109,16,42,1023,2
2971,718,3,29,36,1807,2
2972,1994,108,29,14,9374,1
2973,1994,120,29,27,540,2
2974,537,139,0,0,11419,2
2975,537,4,28,14,5568,1
2976,44,19,7,29,7398,2
2978,2018,86,29,21,557,4
2979,1320,88,43,36,11000,3
2980,537,139,5,35,9421,3
2981,44,117,29,23,14406,2
2982,976,112,13,0,8210,3
2983,1994,108,29,17,13537,0
2984,2156,86,29,5,2041,3
2985,44,104,29,23,10409,2
2986,537,3,28,13,13229,3
2987,1994,16,29,14,12900,3
2988,537,110,29,25,6261,1
2989,714,101,8,10,151,3
2990,504,85,11,36,7378,2
2991,1994,102,29,14,12028,2
2992,1994,101,29,27,5565,2
2993,1648,86,29,25,14690,0
2994,44,104,29,23,15033,1
2995,744,102,29,14,8711,2
2996,537,2,29,11,5801,1
2997,675,111,29,36,1845,3
2998,44,104,29,23,10444,1
2999,1994,108,29,14,254,3
3000,44,1,7,29,7770,2
3001,44,101,29,23,14648,3
3002,701,100,13,36,801,4
3003,2257,102,38,33,8952,3
3004,44,116,29,15,463,2
3005,44,88,44,35,9672,0
3006,44,101,2,29,11382,1
3007,1911,86,45,36,10846,1
3008,701,86,58,36,13949,4
3009,831,8,38,33,904,1
3010,1994,103,8,14,11748,1
3011,1994,133,29,6,12440,4
3012,1847,108,29,18,3798,1
3013,2018,108,29,24,9684,1
3014,44,87,29,14,2142,2
3015,44,115,29,23,10478,4
3016,1994,102,29,14,15047,1
3017,2018,85,29,14,3000,1
3018,2005,109,16,42,1028,1
3019,1994,120,29,14,10900,2
3020,2018,86,29,24,9733,0
3021,1994,108,29,14,685,4
3022,1174,86,44,33,13093,2
3023,1994,85,29,16,12486,0
3024,262,127,15,36,10911,3
3025,537,84,7,29,9310,1
3026,2018,101,29,14,15187,1
3027,675,84,8,10,1303,4
3028,537,24,34,29,454,2
3029,44,24,2,36,7350,3
3030,537,85,32,21,13587,4
3031,44,11,29,14,5359,2
3032,1994,136,29,14,13049,4
3033,704,104,29,36,11017,3
3034,44,101,29,17,15287,3
3035,44,88,44,35,9705,3
3036,44,101,19,34,6559,2
3037,44,86,29,25,1649,2
3038,2018,127,29,14,10352,2
3039,44,135,38,32,7638,3
3040,714,116,44,23,5577,2
3041,1246,66,29,28,3897,2
3043,44,104,44,31,10042,1
3044,44,111,29,14,8064,3
3045,2008,88,29,14,2996,3
3046,714,112,29,29,1370,1
3047,537,103,29,14,15077,1
3048,1648,104,29,25,6429,0
3049,44,120,29,14,6327,1
3050,701,86,1,30,2601,2
3051,701,101,29,36,10231,4
3052,44,104,29,23,13989,1
3054,44,24,29,14,98,2
3055,714,84,29,36,1811,2
3056,1994,88,29,14,10746,1
3057,690,112,16,42,13410,2
3058,44,84,29,14,7000,1
3059,44,102,8,10,10913,4
3060,2018,112,0,36,2413,3
3061,44,110,29,17,5927,4
3062,44,87,7,29,8487,3
3063,537,3,5,35,9772,3
3064,44,133,32,14,11906,4
3065,44,109,29,14,14981,3
3066,714,3,29,25,1934,2
3067,44,102,29,25,4953,4
3068,44,9,29,23,3565,3
3069,1994,116,29,17,13538,4
3070,2057,0,38,33,7794,3
3071,44,86,44,35,5097,1
3072,675,104,44,35,9720,3
3073,44,101,29,14,3057,1
3074,1994,85,54,14,9441,4
3075,44,111,52,18,13039,1
3076,718,88,29,36,11239,4
3077,44,19,44,35,10239,2
3078,44,19,29,0,7180,2
3079,1726,24,13,38,3825,2
3080,701,101,44,0,11422,4
3081,675,101,49,11,9922,4
3082,1994,136,29,14,9008,3
3083,44,108,28,23,12274,4
3084,714,85,44,29,1114,3
3085,714,140,29,6,10711,2
3086,1994,112,29,24,9765,3
3087,185,102,8,11,3182,4
3088,44,127,29,14,6114,3
3089,44,116,29,11,462,1
3090,701,86,32,26,3673,3
3091,44,119,29,16,10657,1
3092,44,116,50,0,4095,4
3093,44,104,29,14,5265,0
3094,2257,102,38,33,8954,4
3095,1994,125,29,14,9375,3
3096,44,43,29,14,15010,3
3097,44,119,29,14,5390,1
3098,44,12,44,35,9722,3
3099,1994,19,29,22,2302,4
3100,44,0,8,10,7112,1
3101,1994,110,29,27,11748,0
3102,2008,103,29,14,9358,1
3103,44,2,29,14,12323,1
3104,44,112,29,14,6241,3
3105,2018,9,29,14,12090,4
3106,675,87,29,14,14163,4
3107,44,104,44,35,51,1
3108,44,111,29,14,2938,0
3109,714,84,15,10,8174,4
3110,2018,88,29,14,14923,4
3111,2018,101,8,14,5958,2
3112,1174,86,44,33,13093,3
3113,701,111,49,36,1845,4
3114,1605,116,13,40,928,1
3115,1994,125,29,14,12135,3
3116,44,111,29,14,10390,1
3117,1994,16,29,14,12179,2
3118,44,111,29,14,10319,1
3119,900,136,5,0,3196,4
3120,44,101,29,23,2431,0
3121,1994,19,29,29,9249,0
3122,1994,88,29,22,5678,1
3123,44,0,38,29,7794,2
3124,537,102,29,14,11070,3
3125,839,100,49,40,13138,3
3126,228,110,49,11,9950,3
3127,1994,87,29,14,14631,3
3128,714,86,29,14,10761,4
3129,1994,102,16,42,1183,3
3130,2058,0,38,33,8239,3
3131,44,88,44,35,9410,3
3132,714,86,58,12,4888,3
3133,44,116,0,0,11419,4
3134,2018,88,29,14,9490,1
3135,44,119,8,10,278,3
3136,714,101,29,14,521,2
3137,2284,5,7,29,7746,3
3138,831,8,38,33,9545,2
3139,990,101,16,42,11116,4
3140,44,103,44,35,529,4
3141,44,116,28,23,1207,3
3142,1994,133,29,17,13539,1
3143,2018,86,49,14,6237,3
3144,44,112,44,35,4780,3
3145,537,86,29,14,818,3
3146,2018,86,29,14,6292,2
3147,44,86,29,14,6206,3
3148,675,84,1,32,1430,4
3150,44,86,29,25,1647,4
3151,44,84,57,0,6270,3
3152,44,108,2,35,9800,1
3153,44,142,29,20,13550,4
3154,44,135,29,14,3471,4
3155,2018,88,29,14,5594,3
3156,701,84,29,11,10738,4
3157,675,11,44,11,8944,4
3158,1994,125,29,16,7461,0
3159,701,103,54,36,736,3
3160,44,0,44,33,1452,3
3161,44,12,44,35,50,3
3162,44,127,29,14,6328,4
3163,44,142,7,29,11549,4
3164,2270,111,29,14,8685,1
3165,1994,88,29,22,15027,1
3166,2018,84,29,17,10523,3
3167,1994,108,29,14,13977,4
3168,262,9,29,25,3314,4
3169,1994,140,29,14,13539,4
3170,44,101,29,24,3694,3
3171,1994,88,29,14,9864,3
3172,714,101,29,32,1845,1
3173,2248,109,38,33,3615,3
3174,701,88,58,10,11002,2
3175,537,3,13,38,2322,1
3176,831,88,44,32,9349,4
3177,1224,104,29,14,6219,2
3178,44,11,44,35,9408,3
3179,1994,108,29,14,3329,4
3180,44,102,29,14,3564,4
3181,2018,132,61,6,12498,4
3182,44,136,29,25,13122,3
3183,1994,111,29,14,6206,4
3184,714,8,29,6,8631,3
3185,2018,8,29,17,4623,3
3186,601,87,7,36,5107,0
3187,675,86,54,33,13536,4
3188,44,104,17,36,893,1
3189,537,103,37,14,6098,1
3190,675,101,29,14,8718,4
3191,44,112,29,14,12793,3
3193,168,119,50,36,7383,4
3194,44,104,32,36,9398,1
3195,675,9,7,29,9806,4
3196,44,110,29,14,9007,4
3197,44,104,29,22,10498,3
3198,537,112,1,36,1854,3
3199,537,5,7,29,10684,1
3200,718,8,29,36,1807,4
3201,44,115,13,35,13561,1
3202,714,8,29,11,5890,4
3203,675,88,29,29,11344,1
3204,44,111,29,14,93,3
3205,718,124,29,36,13002,2
3206,714,3,29,36,7628,3
3207,714,24,54,11,13384,3
3208,44,101,29,14,6131,3
3209,714,12,29,29,9283,0
3211,2018,123,5,6,1393,1
3212,44,125,29,38,9545,4
3213,44,112,29,14,5423,1
3214,2018,107,29,14,3517,4
3215,44,111,29,14,8158,3
3216,44,125,16,22,5644,3
3217,44,85,14,36,10857,4
3218,1994,123,38,14,12265,4
3219,1994,116,29,14,11974,3
3220,44,104,29,14,5732,2
3221,675,1,29,14,9192,4
3222,675,2,30,14,637,1
3223,537,9,38,11,6460,4
3224,44,12,49,35,15067,4
3225,744,2,45,5,9272,1
3226,44,88,29,14,5395,3
3227,1994,108,7,24,9008,3
3228,1994,88,29,14,525,1
3229,44,111,29,14,10456,1
3230,675,88,29,30,2610,1
3231,675,107,29,14,7891,0
3232,2018,86,29,14,13536,3
3233,1994,108,7,14,9099,1
3234,1994,132,44,18,12582,1
3235,537,11,7,29,7827,3
3236,44,126,29,14,5115,1
3237,1994,102,29,17,7869,1
3238,675,109,29,22,12610,3
3239,44,111,29,14,10419,1
3240,2014,112,29,23,13880,1
3241,2018,85,29,14,11622,2
3242,2018,12,29,14,8831,0
3243,2014,127,29,14,13591,4
3244,675,111,29,14,14514,3
3245,44,101,29,23,658,3
3246,2018,123,29,14,6162,3
3247,44,125,29,14,10362,3
3248,1994,112,29,14,12651,3
3249,44,85,49,11,5658,2
3250,714,3,29,14,10611,3
3251,675,8,29,14,10597,3
3252,976,36,29,0,11554,1
3253,714,86,29,24,13824,4
3254,44,102,29,14,9439,3
3255,44,111,29,14,14932,3
3256,1224,109,29,14,826,2
3257,831,115,29,32,13442,1
3258,675,11,29,36,1830,3
3259,701,88,29,14,12553,3
3260,1994,88,29,22,9267,3
3261,701,86,8,10,12777,1
3262,537,10,29,13,2501,1
3263,1994,88,29,14,12189,4
3264,44,87,8,36,1444,4
3265,714,111,29,17,11699,3
3266,129,116,16,30,12643,0
3267,1205,37,8,14,212,1
3268,718,86,29,36,1845,1
3269,675,8,29,14,14976,2
3270,1994,101,38,14,13566,4
3271,1994,10,29,28,14889,0
3272,714,86,8,26,13888,3
3273,675,88,58,12,12417,2
3274,962,101,29,0,12525,2
3275,675,88,29,13,6701,3
3276,675,10,29,13,8181,4
3277,675,127,29,14,8647,1
3278,2018,88,29,23,13696,0
3279,2018,112,29,14,4432,3
3280,714,133,29,28,3888,1
3281,675,112,42,38,3834,4
3282,537,108,29,14,2639,4
3283,2018,9,29,14,8849,4
3284,675,136,29,14,709,4
3285,701,123,30,35,1252,1
3286,1320,12,29,13,8902,1
3287,44,87,7,29,9909,1
3288,70,117,29,14,8974,4
3289,1994,86,29,21,12263,3
3290,675,111,29,14,6922,0
3291,675,103,29,42,2752,1
3292,44,116,29,14,8162,3
3293,675,104,8,36,10053,2
3294,1994,101,38,14,13566,4
3295,701,110,49,11,2699,3
3296,675,127,29,14,13541,4
3297,1988,88,32,14,12117,3
3298,675,11,29,36,1820,1
3299,675,101,29,14,3317,3
3300,44,102,29,14,5360,4
3301,537,10,29,1,4228,3
3302,675,111,29,14,6618,1
3303,44,108,29,14,14382,1
3304,2018,112,29,14,8848,4
3305,675,88,29,14,15245,4
3306,1994,133,17,14,12098,4
3307,1711,94,13,38,2331,4
3308,675,112,49,32,7638,1
3309,44,111,29,14,10320,4
3310,537,2,7,29,8525,0
3312,701,9,29,36,1845,1
3313,675,2,16,42,2745,3
3314,44,2,37,36,4084,0
3315,44,124,29,14,6273,3
3316,2018,86,29,14,583,3
3317,1994,136,13,6,2339,1
3318,2018,84,29,14,559,1
3319,2014,136,29,17,6830,1
3320,1994,112,29,36,11363,3
3321,675,88,29,32,6066,0
3322,2018,101,29,14,12190,4
3323,1994,125,29,14,11750,1
3324,1994,109,29,22,5689,3
3325,675,140,29,14,13422,1
3326,2018,107,49,14,10301,4
3327,714,104,29,14,7867,1
3328,1994,110,29,14,9259,2
3329,44,108,16,32,10603,1
3330,1956,87,28,14,4772,3
3331,675,86,29,14,826,4
3332,675,88,29,14,7871,1
3334,537,24,29,16,9014,2
3335,718,86,29,36,1845,3
3336,2014,86,29,24,9792,3
3337,44,84,7,11,12520,1
3338,44,12,7,29,4752,2
3339,1994,111,29,27,1959,3
3340,1994,112,29,14,11718,4
3341,701,116,29,36,1845,3
3343,2018,86,29,14,2987,4
3344,537,109,29,14,8732,0
